Date,Weight (kg)
2015-07-09 9:36 AM,67
2015-07-08 9:24 AM,66.5
2015-07-07 9:26 AM,66.7
2015-07-06 7:28 PM,67.5
2015-07-05 9:38 AM,66.4
2015-07-04 11:25 AM,66.4
2015-07-03 11:09 AM,66.8
2015-07-02 11:28 AM,65.7
2015-07-01 10:24 AM,67
2015-06-30 10:37 AM,66.8
2015-06-29 11:04 AM,66.2
2015-06-28 11:20 AM,66.4
2015-06-27 2:50 PM,66.3
2015-06-26 9:33 AM,66.1
2015-06-25 9:41 AM,66.5
2015-06-24 9:18 AM,67
2015-06-23 9:35 AM,65.9
2015-06-22 8:47 AM,66
2015-06-21 11:28 AM,66.8
2015-06-20 12:32 PM,66.2
2015-06-19 10:10 AM,66.4
2015-06-18 9:21 AM,66.4
2015-06-17 8:58 AM,66.2
2015-06-16 8:29 AM,65.7
2015-06-15 7:40 AM,66.4
2015-06-14 12:13 PM,67.9
2015-06-13 8:14 AM,66.1
2015-06-12 7:12 AM,66.4
2015-06-11 8:32 AM,65.9
2015-06-10 8:07 AM,66.1
2015-06-09 8:52 AM,66.6
2015-06-08 8:56 AM,66.4
2015-06-07 10:57 AM,65.8
2015-06-06 10:08 AM,65.9
2015-06-05 8:32 AM,65.8
2015-06-04 8:32 AM,65.7
2015-06-03 8:21 AM,66.1
2015-06-02 8:37 AM,65.9
2015-06-01 8:04 AM,65.9
2015-05-31 10:26 AM,65.2
2015-05-30 9:10 AM,66
2015-05-29 7:54 AM,66
2015-05-28 7:34 AM,66
2015-05-27 7:48 AM,66.3
2015-05-26 7:22 AM,66.7
2015-05-25 10:40 PM,67.9
2015-05-24 6:58 AM,66.5
2015-05-23 6:24 AM,65.4
2015-05-22 8:56 AM,65.6
2015-05-21 8:21 AM,65.7
2015-05-20 7:06 AM,65.9
2015-05-19 8:37 AM,66
2015-05-18 11:14 PM,67
2015-05-17 8:26 AM,65.4
2015-05-16 8:32 AM,65.5
2015-05-15 7:59 AM,65
2015-05-14 8:56 AM,65.6
2015-05-13 7:08 AM,65.1
2015-05-12 8:28 AM,65
2015-05-11 9:27 AM,65
2015-05-10 8:56 AM,66.1
2015-05-09 10:40 AM,65.4
2015-05-08 8:36 AM,64.6
2015-05-07 8:28 AM,64.9
2015-05-06 8:47 AM,64.3
2015-05-05 8:25 AM,64.9
2015-05-04 8:45 AM,65.3
2015-05-03 9:52 AM,64.6
2015-05-02 8:49 AM,65.1
2015-05-01 8:25 AM,64.9
2015-04-30 7:29 AM,64.9
2015-04-29 8:07 AM,65.3
2015-04-28 7:29 AM,65.5
2015-04-27 9:20 AM,66.4
2015-04-26 9:14 AM,66.3
2015-04-25 9:49 AM,66.3
2015-04-24 8:36 AM,66.2
2015-04-23 7:41 AM,66.2
2015-04-22 8:20 AM,66.1
2015-04-21 9:01 AM,65.9
2015-04-20 7:42 AM,66.4
2015-04-19 11:14 AM,66.1
2015-04-18 8:52 AM,65.8
2015-04-17 8:23 AM,66.1
2015-04-16 9:10 AM,66.2
2015-04-15 9:41 AM,66.2
2015-04-14 9:05 AM,66.2
2015-04-13 8:57 AM,66.6
2015-04-12 8:58 AM,67.8
2015-04-11 8:37 AM,66.6
2015-04-10 9:10 AM,66.8
2015-04-09 9:20 AM,66.6
2015-04-08 8:07 AM,66.7
2015-04-07 10:16 AM,66.8
2015-04-06 8:45 AM,67.1
2015-04-05 11:10 AM,66.7
2015-04-04 4:21 PM,66.9
2015-04-03 8:28 AM,67.6
2015-04-02 9:37 AM,67
2015-04-01 9:12 AM,67.5
